area 1,area 0,area 2
jiva1245,cari1283,boro1281
quec1387,araw1281,nucl1710
bora1262,araw1281,pano1259
quec1387,chib1249,barb1265
mixe1287,barb1265,nada1235
ayma1253,tupi1275,tupi1275
cahu1265,araw1281,nada1235
uruc1242,chib1249,tupi1275
tuca1253,hibi1242,tupi1275
quec1387,tupi1275,tupi1275
tuca1253,tupi1275,tupi1275
quec1387,cari1283,choc1280
quec1387,cari1283,namb1299
quec1387,tupi1275,tupi1275
quec1387,katu1274,pano1259
araw1282,namb1299,uruc1242
ayma1253,arau1255,tupi1275
quec1387,guai1249,nucl1710
pano1259,tupi1275,pano1259
quec1387,tupi1275,
quec1387,yano1268,
quec1387,araw1281,
quec1387,guai1249,
quec1387,nucl1710,
jiva1245,tupi1275,
quec1387,tupi1275,
quec1387,chon1288,
araw1281,cari1283,
quec1387,chap1271,
quec1387,mata1289,
,araw1281,
